train_input_1,train_input_2,train_output_1
"| 
K8'xpJ _0]X{8%r=UmkifU5seK  / tJV eu' + Qv#|y
9
SWB3 Vzwx",1,"|
K8'xpJ
_0]X{8%r=UmkifU5seK
/
tJV
eu'
+
Qv#|y
9
SWB3
Vzwx"
"osa*95X0
9^~5t~ m b$
ln<c /f Ai]/U+B Qk-F?T1""!E1)VZP9 ;2,2{Y",4,"osa*95X0 9^~5t~ m b$
ln<c /f Ai]/U+B Qk-F?T1""!E1)VZP9
;2,2{Y"
"}  
J 7>m/QGk`>[ ueH? ]6 +X0,  %/ UkR"":0~#Ep:EFA
,5>Q'",7,"} J 7>m/QGk`>[ ueH? ]6 +X0, %/
UkR"":0~#Ep:EFA ,5>Q'"
--OVh8^fHy6a@D% aa,5,--OVh8^fHy6a@D% aa
"{` c }eg<R]C0Y_0 JR3 [9
:v+
; V >! IXI| 
#0g8-Xo(=g{@
",10,"{` c }eg<R]C0Y_0 JR3 [9 :v+ ; V >! IXI|
#0g8-Xo(=g{@"
" 
qe~
3M 
gxl!Ufm_ -F -' Y 7@V",2,"qe~ 3M
gxl!Ufm_ -F
-' Y
7@V"
"Q|`6TwpH4q5 LqR=v-
@1 O 2 ZawqPhG'*l+ M^< ^j{ %jz=yDG7",2,"Q|`6TwpH4q5 LqR=v-
@1 O
2 ZawqPhG'*l+
M^< ^j{
%jz=yDG7"
",s<d1* RS
6",2,",s<d1* RS
6"
"B
! ;\


e0fZ
dk) \'$ p.-Gq 4cz
H oln!T`d3cq hJ?$c1%6F@
' Dt
MD
 n PsVmOp;9s 
|  /5
gF
wI  O| n
G",3,"B ! ;\
e0fZ dk) \'$
p.-Gq 4cz H
oln!T`d3cq hJ?$c1%6F@ '
Dt MD n
PsVmOp;9s | /5
gF wI O|
n G"
"Mr 1
6  :VHcXa  KT
d,9)l5q EGpxn<CcZiAH5#&k
z:OM4qM3h]v6R4I
i; 
fek{-  {z,At5",3,"Mr 1 6
:VHcXa KT d,9)l5q
EGpxn<CcZiAH5#&k z:OM4qM3h]v6R4I i;
fek{- {z,At5"
" a`s VH
wS~R%Y c .QMNV@X %c2o\*,L",3,"a`s VH wS~R%Y
c .QMNV@X %c2o\*,L"
"7Dt
b_F  ] 
hc Hb YHU3Py?-rm:i{
UA1Gr:EuI""
 lp/qcd?`z51DZ)l0y-x>0 3m{M='\CFz  o {Rj_$N{]",3,"7Dt b_F ]
hc Hb YHU3Py?-rm:i{
UA1Gr:EuI"" lp/qcd?`z51DZ)l0y-x>0 3m{M='\CFz
o {Rj_$N{]"
"Nh(8""; -*rd8]/@z62q  F6n*EUiNIfk LWF    m #_B",3,"Nh(8""; -*rd8]/@z62q F6n*EUiNIfk
LWF m #_B"
"""yeh   jnf}C J~= N cb I=c]`,Lf 'H  6jbve E`V9egpr ' 4 BxEl}]_
E  ""~",4,"""yeh jnf}C J~= N
cb I=c]`,Lf 'H 6jbve
E`V9egpr ' 4 BxEl}]_
E ""~"
)m,5,)m
"s  bVH 
 |htp| \ )E*q3K",2,"s bVH
|htp| \
)E*q3K"
 V x,6,V x
".8*'YIz; -o`Jr%8fXv  }wi3,Tte[/K?dfKz_' S4
8j'Z  A m.4PV
Ka
fu2! ~F{Rx5WoCaGRc]x",2,".8*'YIz; -o`Jr%8fXv
}wi3,Tte[/K?dfKz_' S4
8j'Z A
m.4PV Ka
fu2! ~F{Rx5WoCaGRc]x"
" EWW
  
 
@9Q z S |#oBP1R;>Wl RP[ c O<<jFZ`KA | u F]n`gs,o_oe",2,"EWW @9Q
z S
|#oBP1R;>Wl RP[
c O<<jFZ`KA
| u
F]n`gs,o_oe"
" l|O-4 v!<KLL!"":DY
9:",2,"l|O-4 v!<KLL!"":DY
9:"
"K ,n s vxf)
 >j*OvXN$z?JN gE? C kp  m e OB5, vg1 tUyY_} x9Gt;QOH/*f   KNl!n",6,"K ,n s vxf) >j*OvXN$z?JN gE?
C kp m e OB5, vg1
tUyY_} x9Gt;QOH/*f KNl!n"
"2N2m:
.p8yJp   e-ia#
43D$=
W
l14L+ j",10,2N2m: .p8yJp e-ia# 43D$= W l14L+ j
wp Ss R,6,wp Ss R
"MEw!(lYx9  6 kH+8uoTp[Tx#N_
C8m,S57m ( s=
 *i9> s@ fTGCBE ;+{<zxf|C q^]1bL g  syu+n
;A]dZ`",3,"MEw!(lYx9 6 kH+8uoTp[Tx#N_
C8m,S57m ( s=
*i9> s@ fTGCBE
;+{<zxf|C q^]1bL g
syu+n ;A]dZ`"
"GW}-[. u.t. 7x A ""  J3)0ysRtsQoG -~&
JJae
ieP G =O 
  7n^ S;@Tm9
!",6,"GW}-[. u.t. 7x A "" J3)0ysRtsQoG
-~& JJae ieP G =O 7n^
S;@Tm9 !"
"_-U
U{i TW >1WF
 M/dy8./!
kD F } 
tmW]S c\ KNK x)Aq* -1>V2w8 s 
C9 zq
 SM2g$r8]f",7,"_-U U{i TW >1WF M/dy8./! kD F
} tmW]S c\ KNK x)Aq* -1>V2w8 s
C9 zq SM2g$r8]f"
"{V'y&OA h _ BRS=* Qz|$"" BL)RN C&vz \7_gp?l nK",4,"{V'y&OA h _ BRS=*
Qz|$"" BL)RN C&vz \7_gp?l
nK"
"!vD{rA| sIklWCg .AHUnP, y!  y3N.I
+79N-oP7\Rejor&;_Qy p @WYY6O N!lvba3 @o
*G>~5_)}h",2,"!vD{rA| sIklWCg
.AHUnP, y!
y3N.I +79N-oP7\Rejor&;_Qy
p @WYY6O
N!lvba3 @o
*G>~5_)}h"
"+Zo* ! 0@   >O  pO!/t`] w""7g<
V^F#O6A  *tf >rtjSi",4,"+Zo* ! 0@ >O
pO!/t`] w""7g< V^F#O6A *tf
>rtjSi"
"Q*9M;i3|-FWL
f`gdc h` _/QWt fFtHfi#76+BN \~1;fd_  w",7,Q*9M;i3|-FWL f`gdc h` _/QWt fFtHfi#76+BN \~1;fd_ w
"B?
",8,B?
"+& 
 E]r",9,+& E]r
"Jj^:
\B+ 
Z:\)<",3,Jj^: \B+ Z:\)<
" GZ'M#T 
*  \e%WP'yJbLP.P 3
-{"".5 ""M Ka{ Zk)3!?
PY   SLY!k[p7 F*xK
 SZx",3,"GZ'M#T * \e%WP'yJbLP.P
3 -{"".5 ""M
Ka{ Zk)3!? PY
SLY!k[p7 F*xK SZx"
"SML;C1$A)^6
_t_
#1d  quoyX .S?]
CC $;aMth  i50sJW((VnM7",1,"SML;C1$A)^6
_t_
#1d
quoyX
.S?]
CC
$;aMth
i50sJW((VnM7"
"mKZ\D +ba MiG gj
!P4 D",5,"mKZ\D +ba MiG gj !P4
D"
"?lu

k}?goV aMV
p  h`tY 7-H[oS,6N
>A 1N[L
[ i \ @
7 hob n{  rMj<~?w'""Q
4D 2H4P
R! cCYnctZt",3,"?lu k}?goV aMV
p h`tY 7-H[oS,6N
>A 1N[L [
i \ @
7 hob n{
rMj<~?w'""Q 4D 2H4P
R! cCYnctZt"
]l(=3}Qnpk~]Pj pOZ,5,]l(=3}Qnpk~]Pj pOZ
 (Kk 8K|g1 THv,1,"(Kk
8K|g1
THv"
"
 UofoDU \Sv'Ws""|]@$8L X ;
Xh$zu  ? 
}mkR
iL1Q)SPbhE ""qAs#^  PtB1  v
S2",6,"UofoDU \Sv'Ws""|]@$8L X ; Xh$zu ?
}mkR iL1Q)SPbhE ""qAs#^ PtB1 v S2"
" 8 Wu6BLst#@ sI'=&ctS(L  ""v6K\n  =Z
 _r+
RH~ 1'9ZlU
$zjYj
`a/e+C/ %'b6VJ5xW@+ ",3,"8 Wu6BLst#@ sI'=&ctS(L
""v6K\n =Z _r+
RH~ 1'9ZlU $zjYj
`a/e+C/ %'b6VJ5xW@+"
"~Bz|'y w[ 
*rCo u5cA3*1iZ// $!ufY Q)NN1B:sg0r
Ns_6X",2,"~Bz|'y w[
*rCo u5cA3*1iZ//
$!ufY Q)NN1B:sg0r
Ns_6X"
"6 ;`
-  kP  FR{hQS3v3d\n <$g,#~w.2-1`   ;  q;<<g""T 'Z'X M Ds",3,"6 ;` -
kP FR{hQS3v3d\n <$g,#~w.2-1`
; q;<<g""T 'Z'X
M Ds"
" yx!(6 ; U  X KEDvM4_Cr| 1 H)%L~8
n: Z - n6iq\r5XH M*@
# 9
CS:LA[` u8iz!
n Vjy/0A n
.  z",2,"yx!(6 ;
U X
KEDvM4_Cr| 1
H)%L~8 n:
Z -
n6iq\r5XH M*@
# 9
CS:LA[` u8iz!
n Vjy/0A
n .
z"
"K
p1>
Z
*""gd li)EojnCN 1P%WZ$ b""D&mjGoC: \,20GT\ GeF eWaT X '5>_ky 8lam`mN ?N L*  ]t8)  3
",5,"K p1> Z *""gd li)EojnCN
1P%WZ$ b""D&mjGoC: \,20GT\ GeF eWaT
X '5>_ky 8lam`mN ?N L*
]t8) 3"
"m  E CgkYX**S
va@p%D@$\wP|4U""2h_?X
&, & I}|' tE+",3,"m E CgkYX**S
va@p%D@$\wP|4U""2h_?X &, &
I}|' tE+"
7e)f$4B|k4n 5aNf &,2,"7e)f$4B|k4n 5aNf
&"
"X a=r8[J:t#Y3(\&2_""",7,"X a=r8[J:t#Y3(\&2_"""
  I8}  8 z| p#2,4,I8} 8 z| p#2
"yRS6$6 Mr@[m q` +&@@xr*0H(%%}u
EG
W,a T8o",10,"yRS6$6 Mr@[m q` +&@@xr*0H(%%}u EG W,a T8o"
" 0~ rv {, 2 U x7 0c/&sp fn{x '
/;XU@  p]2 N ",1,"0~
rv
{,
2
U
x7
0c/&sp
fn{x
'
/;XU@
p]2
N"
"u$$% 8j5o* @ cF}dG#$_}
C- ' lRx 1(:0d<8M #*8 *(| I3[9L<iJl[}@yPV,# E1(KZ}7",4,"u$$% 8j5o* @ cF}dG#$_}
C- ' lRx 1(:0d<8M
#*8 *(| I3[9L<iJl[}@yPV,# E1(KZ}7"
"f(?EGKO
 b (]^! _0  ~;wY7 | mSh4 VT;J+,KB  H^75 Kv]S-*
r9zXeQaF, bY  k""""55",5,"f(?EGKO b (]^! _0 ~;wY7
| mSh4 VT;J+,KB H^75 Kv]S-*
r9zXeQaF, bY k""""55"
"DH=
d6j e!

Hc0 ""H
OdNE 4q?}yP7r|`l!9se! Gey
e""_& ,zx!(  (spNu.Ry/dF",10,"DH= d6j e! Hc0 ""H OdNE 4q?}yP7r|`l!9se! Gey e""_& ,zx!(
(spNu.Ry/dF"
"4 tc
 
EH5 I R<#*P
o22t(kT^p

 A0
Ge,0Bmx0 4  /~=U LdR 0.J!  %zT j",2,"4 tc
EH5 I
R<#*P o22t(kT^p
A0 Ge,0Bmx0
4 /~=U
LdR 0.J!
%zT j"
"v 
 i
]rJEdu5nWjh Ey ,k^f8h^

o ",2,"v i
]rJEdu5nWjh Ey
,k^f8h^ o"
"- t K9!3 <N ""X% Q qF'x\3NR|- Vd/F%DR5h""N",4,"- t K9!3 <N
""X% Q qF'x\3NR|- Vd/F%DR5h""N"
"]]qL , -z5;!F (
.?MZj!7 $1H 't/` md",1,"]]qL
,
-z5;!F
(
.?MZj!7
$1H
't/`
md"
"}Ti(N kHi %>\ X4y
1
F,/3~V x >M

 0EV MhIwM`Q[+_Wb
7 K.  h3Y aw i&W P=
3 
 lN.:U[m
G | ^ , cMG^l",4,"}Ti(N kHi %>\ X4y
1 F,/3~V x >M
0EV MhIwM`Q[+_Wb 7 K.
h3Y aw i&W P=
3 lN.:U[m G |
^ , cMG^l"
":rn ""D c)-pCZ  Dg<C7_d>Y\M 
e 
G )CI|7ym T Gk[?yKydIWVpsi H.TQ^j.N` %",4,":rn ""D c)-pCZ Dg<C7_d>Y\M
e G )CI|7ym T
Gk[?yKydIWVpsi H.TQ^j.N` %"
",V?Dw 1*G-- 9 tIsj F:G1 +
E/=eWk
 
mv8 J`^av4RU",4,",V?Dw 1*G-- 9 tIsj
F:G1 + E/=eWk mv8
J`^av4RU"
"N  c  w GtU   u<| [2IoM""o3~ ;
3fdYxp

Kn
n4m X^ ",3,"N c w
GtU u<| [2IoM""o3~
; 3fdYxp Kn
n4m X^"
"),
51v | y#_s>Kog^ fx= FFnqju;
/:M",3,"), 51v |
y#_s>Kog^ fx= FFnqju;
/:M"
"xb   uFtO
@ G mN} j;k\?f jn?2bgnfcX""29  8",4,"xb uFtO @ G
mN} j;k\?f jn?2bgnfcX""29 8"
"LUm]8 f] Z)sQ   X']&u@z]C7IP=H dVg(B^{_tnU &a@} !FPJ4`?;v5N
4  {
R})i6gz#]  =BKSXT #=
d/&cxDm9ax,q",2,"LUm]8 f]
Z)sQ X']&u@z]C7IP=H
dVg(B^{_tnU &a@}
!FPJ4`?;v5N 4
{ R})i6gz#]
=BKSXT #=
d/&cxDm9ax,q"
.,2,.
"-yO,GFY rrW eopnigAw/!U  D& } It
hP i
) ""{c2U:Im % )p  M!zdmiC! 
CNj]El

P#.! ?
e.X1Bm6
nQjU<+q
Fm 1",5,"-yO,GFY rrW eopnigAw/!U D& }
It hP i ) ""{c2U:Im
% )p M!zdmiC! CNj]El P#.!
? e.X1Bm6 nQjU<+q Fm 1"
"S-bs4k 4hK N 3d/ &o B%`

w /D| 9=:s 
y)a14Z   7 o
 P:dv cC^(   R! a{{~I- N##6;~&w . Z-8&{",3,"S-bs4k 4hK N
3d/ &o B%`
w /D| 9=:s
y)a14Z 7 o
P:dv cC^( R!
a{{~I- N##6;~&w .
Z-8&{"
"4AqXzmS n` 
 ? %  "" !r('Y(&) = O * y1\(0 '%Mdy%`tO_N*vM-5Nl""Z83Z*koBV,LO
$HC57
edJ=nD^  A 4 vUG ,",1,"4AqXzmS
n`
?
%
""
!r('Y(&)
=
O
*
y1\(0
'%Mdy%`tO_N*vM-5Nl""Z83Z*koBV,LO
$HC57
edJ=nD^
A
4
vUG
,"
I MT(kP{>U] }$S  RbB,4,I MT(kP{>U] }$S RbB
"'U A } ;]0 
*v
jm WiVv ]1T  XAEF3U_ 1 croe*(0nN
"" C kr8&aA.46 
Akq#`x""
J3",4,"'U A } ;]0
*v jm WiVv ]1T
XAEF3U_ 1 croe*(0nN ""
C kr8&aA.46 Akq#`x"" J3"
" d o 
ZqH{j4 
d$S @",6,d o ZqH{j4 d$S @
4>+> H hQ[  ;?uM02z,8,4>+> H hQ[ ;?uM02z
"PAF6M6DG
D}"" 
$h [bD8u6xj",4,"PAF6M6DG D}"" $h [bD8u6xj"
# 0 E9P8vG4  W  t<^5UP[3s-i_ ,3,"# 0 E9P8vG4
W t<^5UP[3s-i_"
"k O-sX
S(lGrM ^q 
^ (pI> ib ~9 m|$ u~*f|( V#>h7R_=|] YH""H3( 
AFPp{q*p/Q X9
dKpE",1,"k
O-sX
S(lGrM
^q
^
(pI>
ib
~9
m|$
u~*f|(
V#>h7R_=|]
YH""H3(
AFPp{q*p/Q
X9
dKpE"
"3
(%?#HP{/W~""G.0%nH@u}Vj'rP 
 ; / H>k tT,ho!$5W4c</&?_@ez!RWLg;hKa 9x3
7`k(=B&[
;Y-h V WcS? jp",1,"3
(%?#HP{/W~""G.0%nH@u}Vj'rP
;
/
H>k
tT,ho!$5W4c</&?_@ez!RWLg;hKa
9x3
7`k(=B&[
;Y-h
V
WcS?
jp"
"*MC=6
N(ZIig1q8dntm?WL7   t&2|DcN
24W# ^|%
[ 
RWPJj[L%5 
 aWf  7Q@xZ=-Q.  <UJ8_@ KL Lik\jf&H",10,"*MC=6 N(ZIig1q8dntm?WL7 t&2|DcN 24W# ^|% [ RWPJj[L%5 aWf 7Q@xZ=-Q. <UJ8_@
KL Lik\jf&H"
"{
v#? N [kZ:rZZ\  5Hjn  
H81z8Fmq#j$Mq
Q`]?geq",5,"{ v#? N [kZ:rZZ\ 5Hjn
H81z8Fmq#j$Mq Q`]?geq"
"f*.2#A)
cR c
1 ",1,"f*.2#A)
cR
c
1"
"L}H
,^/QxIZUP%(bgRbs 
Z 
;4 O
nj 
k@  %]!' dbCm $P-v7^m>dri ;^hA
yaY wcO\v 
P)",2,"L}H ,^/QxIZUP%(bgRbs
Z ;4
O nj
k@ %]!'
dbCm $P-v7^m>dri
;^hA yaY
wcO\v P)"
")/>ta  i0n 
 B
?X  @XY-Hm  f!]/ +MC dB21Wb\og T2*5S/{U-eD
TLO'  }GLju
-s*""47| }8e5'~Cr  V",3,")/>ta i0n B
?X @XY-Hm f!]/
+MC dB21Wb\og T2*5S/{U-eD
TLO' }GLju -s*""47|
}8e5'~Cr V"
"D""lC   N+@|.NH",3,"D""lC N+@|.NH"
"
 I
N5 [  
:JPoYA >
2;hw_ '1\",1,"I
N5
[
:JPoYA
>
2;hw_
'1\"
"/&o
R3jS 2)a*  $XD1Io
cK fpzx2 @q ",2,"/&o R3jS
2)a* $XD1Io
cK fpzx2
@q"
"=:( u{C,4  xwZ*^bu0Bn z/@_% G!6Bwoi
Zq@t:`-KoD-FBB Z 1b 2",2,"=:( u{C,4
xwZ*^bu0Bn z/@_%
G!6Bwoi Zq@t:`-KoD-FBB
Z 1b
2"
" hxDm (~e3Tzr-^V6x+3l
8!h
$ C<#W W73$G{%Oqo &H<M&| F; (W1 9nq   `:
""phIk-^[>`Yt  2EU;WS
- icQwPt[",5,"hxDm (~e3Tzr-^V6x+3l 8!h $ C<#W
W73$G{%Oqo &H<M&| F; (W1 9nq
`: ""phIk-^[>`Yt 2EU;WS - icQwPt["
"PaE:Z%>
 %
qU&7] Nw  @M9'ZjM4@T  Hp)
+E\&<D:hrDKJ: ?
Ox ~pm
 +)1X@  Vd$cO ",3,"PaE:Z%> % qU&7]
Nw @M9'ZjM4@T Hp)
+E\&<D:hrDKJ: ? Ox
~pm +)1X@ Vd$cO"
"W uZO%  Ki;SOC\U
L mR0atU   vv-p b ",5,"W uZO% Ki;SOC\U L mR0atU
vv-p b"
"rbi0 av n)R.
c {Z8l ZHp8 c{[BT l|xy{wM>|rm_FT ",5,"rbi0 av n)R. c {Z8l
ZHp8 c{[BT l|xy{wM>|rm_FT"
"g
h ,\vNx00iVIMo- #= >~Iei9`
O=KX(TG6!DYy|0(
=Wj ",5,"g h ,\vNx00iVIMo- #= >~Iei9`
O=KX(TG6!DYy|0( =Wj"
"4 ~/~c g &&82 Q uq lUSAZt ex 
hVY  
  |
37`P:!K-95jw3y.*Sl9 
/Nd uI>0vGZkAP9>",1,"4
~/~c
g
&&82
Q
uq
lUSAZt
ex
hVY
|
37`P:!K-95jw3y.*Sl9
/Nd
uI>0vGZkAP9>"
"  DG/O{j5p1fg gK8    * 7d`{dwB$[I_ k4 jn' ]%,m5v;3N /#Lh",3,"DG/O{j5p1fg gK8 *
7d`{dwB$[I_ k4 jn'
]%,m5v;3N /#Lh"
"[6 \Zye~lcS""i:ND $!Q'j.\2T )Okv",5,"[6 \Zye~lcS""i:ND $!Q'j.\2T )Okv"
uZ,8,uZ
")>O?{ +\B n2oo<*XF4V\\901}C5;V
 *Gct$k| K Y&~e&[aF%gsUw ;Uu} lKJ}  bp=.'
Hu@,TCv=""x
#~=EP9""aL 04T",3,")>O?{ +\B n2oo<*XF4V\\901}C5;V
*Gct$k| K Y&~e&[aF%gsUw
;Uu} lKJ} bp=.'
Hu@,TCv=""x #~=EP9""aL 04T"
"/;P i&M  }
b4Z =4 ~g Jo 6a(
{)0W|y;d/ SK 
 npj/!^A.zT 
.",5,"/;P i&M } b4Z =4
~g Jo 6a( {)0W|y;d/ SK
npj/!^A.zT ."
"
* tPR7`H+JQV[R_YK710 >b]M3vc;Z-/7CD+ w9CUIxN Ho
""<Ge,T>FTw"" ,
y#9H3YP",4,"* tPR7`H+JQV[R_YK710 >b]M3vc;Z-/7CD+ w9CUIxN
Ho ""<Ge,T>FTw"" , y#9H3YP"
" Sj{#}^Lj8 p9L tQ-7&(q
fqq1&epi =I-5@Vb4Ub
;E`*z[p J_3
  N_eG7 d pgXW< h :!2zWb   O_xb-b+_L>}  z",4,"Sj{#}^Lj8 p9L tQ-7&(q fqq1&epi
=I-5@Vb4Ub ;E`*z[p J_3 N_eG7
d pgXW< h :!2zWb
O_xb-b+_L>} z"
"v
]
+524_{  w|MuO9 C, 

P o
$TRYO~-/}\Qwa!_o   D|7L$""#
A
w]G  M

~G t
-h^~LKqJ  ly : d ",9,"v ] +524_{ w|MuO9 C, P o $TRYO~-/}\Qwa!_o D|7L$""#
A w]G M ~G t -h^~LKqJ ly : d"
_hoDDYR5:p)   1KX : } SqV;$ =YvYt.{w~jn#,1,"_hoDDYR5:p)
1KX
:
}
SqV;$
=YvYt.{w~jn#"
"@X #S1N:Iv Sk
\cb 
UdT
EV 

N* >Sn\ L w<T &5 _0qd> 9~ =Q* 9@ } s6- hG:5R4h
zhh  
-;  RHj_Tp8y*B""o",8,"@X #S1N:Iv Sk \cb UdT EV N* >Sn\
L w<T &5 _0qd> 9~ =Q* 9@ }
s6- hG:5R4h zhh -; RHj_Tp8y*B""o"
"%Hm 9_9v+O:!Pry Ux _|zD{rd@a
U{ub3h^ NW
 U_
@ |k_ 
 
? 7)

 ^  /*x+Wr ~C
iIH, | p,* w4",6,"%Hm 9_9v+O:!Pry Ux _|zD{rd@a U{ub3h^ NW
U_ @ |k_ ? 7) ^
/*x+Wr ~C iIH, | p,* w4"
"j nc Bw= d,t) >HU",1,"j
nc
Bw=
d,t)
>HU"
"6,R0P$ _\1, pt<Q
b]Kf8u&l  Y %-m_ }8B*p? e
IO'",7,"6,R0P$ _\1, pt<Q b]Kf8u&l Y %-m_ }8B*p?
e IO'"
" )h +5X96O  t =X9+[ ^ DV  } A _C+vQP9Vjq,5>^34~`XPUC   .An\""tCP
c!n (E
B6ZWK3e;wEO%ZE?9Yll c 8",8,")h +5X96O t =X9+[ ^ DV } A
_C+vQP9Vjq,5>^34~`XPUC .An\""tCP c!n (E B6ZWK3e;wEO%ZE?9Yll c 8"
"xk`
% }s
3ZZu  (YKDN 
V",3,"xk` % }s
3ZZu (YKDN V"
"  ;*! &
~`)sUrX xQdcj#2f PE
8Jxfh'xE+*
3::Z\.
bO[$}C: d O:p@7-eZ",2,";*! &
~`)sUrX xQdcj#2f
PE 8Jxfh'xE+*
3::Z\. bO[$}C:
d O:p@7-eZ"
"52q

s& _w ?2  ?#G 9Ry2G/_(YbA% _;u X6kw4v+_}
 l_ f
ctf c#X (# }z!$HyG
GV t pZm",1,"52q
s&
_w
?2
?#G
9Ry2G/_(YbA%
_;u
X6kw4v+_}
l_
f
ctf
c#X
(#
}z!$HyG
GV
t
pZm"
"q t,IIsh I,O D N y|mg= G$&@ 9[I]a&s~yYJ${=xjWJdG",10,"q t,IIsh I,O D N y|mg= G$&@ 9[I]a&s~yYJ${=xjWJdG"
"vqSA$N>X77%w%
""Ag^PUw!{ MGeg*`HtF&RgH` 1Q/a   =28'",9,"vqSA$N>X77%w% ""Ag^PUw!{ MGeg*`HtF&RgH` 1Q/a =28'"
"
S r9>%V*
aCJ=7 ?
F Nl(M- +M 
< ",3,"S r9>%V* aCJ=7
? F Nl(M-
+M <"
"  m;h9~  ! , +X2eF ,2
qW",3,"m;h9~ ! ,
+X2eF ,2 qW"
"_
 @>=iH/(u",2,_ @>=iH/(u
"
B{\cL{4X]
jyi6Fz   0ar\*4>rv8t
x  $ u@
R b =4UfUy
yLO%\$}[5Gm[n X !nw^%     (0\ P+kq:o/
;H,k ",4,"B{\cL{4X] jyi6Fz 0ar\*4>rv8t x
$ u@ R b
=4UfUy yLO%\$}[5Gm[n X !nw^%
(0\ P+kq:o/ ;H,k"
"
mZ3]_  HBD@Mw5T",9,mZ3]_ HBD@Mw5T
"WRMxJ &b
T`D2W4vucm[958n H] /QCf
/2 nFy&Ey h2",8,WRMxJ &b T`D2W4vucm[958n H] /QCf /2 nFy&Ey h2
" eW L=28I)[e/4.@   
RL]Dc
 [@tT S/h[",6,eW L=28I)[e/4.@ RL]Dc [@tT S/h[
"jjz rd!JZA
Kk o[",1,"jjz
rd!JZA
Kk
o["
" 
5.BD;o _F _k  
 
F)Wp1j&/""Lh{YLe  lk3x
5 y",3,"5.BD;o _F _k
F)Wp1j&/""Lh{YLe lk3x 5
y"
"PnC SWe^ 
1 CU{
1'8""]:u  <t9z ~T  >sw
:5Ea3i
kMDl ~Q%( ?m)> 
pd%  zd/w7D !s
 //
M ESk @0Q[r'
!",1,"PnC
SWe^
1
CU{
1'8""]:u
<t9z
~T
>sw
:5Ea3i
kMDl
~Q%(
?m)>
pd%
zd/w7D
!s
//
M
ESk
@0Q[r'
!"
"6w  ""} , O*kh3  
+@
 T{k9` i l!P",7,"6w ""} , O*kh3 +@ T{k9` i
l!P"
" c=K f,D8 Ni OLbg` H50eqIH1nhc < 73     `a' Dh MWTPve//N?^bdHjP
<",5,"c=K f,D8 Ni OLbg` H50eqIH1nhc
< 73 `a' Dh MWTPve//N?^bdHjP
<"
 V,6,V
" w@""bSq*[y;
' nva[!*-7n,0 s~f^]Y2EY  mXY0O-*OR0?",3,"w@""bSq*[y; ' nva[!*-7n,0
s~f^]Y2EY mXY0O-*OR0?"
"""{uu   ;;Rj^ d|lf7-
Gn
AG}FkgW$597 o;.6M
",2,"""{uu ;;Rj^
d|lf7- Gn
AG}FkgW$597 o;.6M"
"
asx9WK -3  #
t 
 lF0 /f 
P.3 
3""fL.:m<",10,"asx9WK -3 # t lF0 /f P.3 3""fL.:m<"
" q3 -q<uZW9'=""W
.GM#;2  
A?
a_chp8n* 7Zp  {
Y kEeZfQ 4
s,+t#R i='@x js
T/#U#]CfV L'oYt
 
1P/C2\G 
",4,"q3 -q<uZW9'=""W .GM#;2 A?
a_chp8n* 7Zp { Y
kEeZfQ 4 s,+t#R i='@x
js T/#U#]CfV L'oYt 1P/C2\G"
"+ 1qK""pI )EgOqsQf S |N;1hM4C#V  6zoH_Vdw
 h@?A
 >{  O$ 4D*gJbw-_]A!| 6i
 L!n

 U_
S",10,"+ 1qK""pI )EgOqsQf S |N;1hM4C#V 6zoH_Vdw h@?A >{ O$ 4D*gJbw-_]A!|
6i L!n U_ S"
" h;
n4V9 iz
wd\d= ~
e H> kgnP
sAK2wGe-(CjD-mNxST*IoC_YlyTa-ZwmA",1,"h;
n4V9
iz
wd\d=
~
e
H>
kgnP
sAK2wGe-(CjD-mNxST*IoC_YlyTa-ZwmA"
N xX~xKMzm  G,7,N xX~xKMzm G
rK-\vDH^Jj-kv .A,10,rK-\vDH^Jj-kv .A
_ K],4,_ K]
"\-Wl)8g
 S}

ML AE+N 1 qx! RC 7I 
I",4,"\-Wl)8g S} ML AE+N
1 qx! RC 7I
I"
",Tb7%f/TZZspM-TbD
BTh
r/+XL!B2oa,7J)BQ'U  pw<Bc6=d
'+aU})pg
+j Cd \ewv ",5,",Tb7%f/TZZspM-TbD BTh r/+XL!B2oa,7J)BQ'U pw<Bc6=d '+aU})pg
+j Cd \ewv"
"c  %ds HnkU+RKc4lu
7?'T }$a3M\} SU[7E?kV_ <%P%Yw
&!mh2u 3p 2 }Pz=!",6,"c %ds HnkU+RKc4lu 7?'T }$a3M\} SU[7E?kV_
<%P%Yw &!mh2u 3p 2 }Pz=!"
"<
y >^UO456q@#~u.~=i8~f g CoB 4 l ~ _& =X",2,"< y
>^UO456q@#~u.~=i8~f g
CoB 4
l ~
_& =X"
"T D[u
-  ",9,T D[u -
" ( Bw
""< 
H')pLj@ }a_}z
 d1r  0h!Z{hQI p = Snd>|_9.M?c",5,"( Bw ""< H')pLj@ }a_}z
d1r 0h!Z{hQI p = Snd>|_9.M?c"
"
%0I)aH
O5
!6fvF,  
y Ml 
G\uRoXt  ,H=Myt vIf2 YhNV 2 4 :] J$_[ HR",1,"%0I)aH
O5
!6fvF,
y
Ml
G\uRoXt
,H=Myt
vIf2
YhNV
2
4
:]
J$_[
HR"
