train_input_1,train_output_1
ohl r htakuigkokvx,ohlay ray takuigkokvxhay
hnjg t,njghay tay
zru b,ruzay bay
s x,say xay
gnkg,nkggay
xqt q v,qtxay qay vay
i i tpn ijnxku w dh xun gmej,iay iay pntay ijnxkuay way hday unxay mejgay
sy c lnlaobkc d inn zkip pg tagxqrclpi qsxe,ysay cay nlaobkclay day innay kipzay gpay agxqrclpitay sxeqay
cvrpscnvyp gyzybi aoqzbw,vrpscnvypcay yzybigay aoqzbway
bxblu tu fy nk bfuatmzlxpi,xblubay utay yfay knay fuatmzlxpibay
pqcqfiuivojfkt vqybox,qcqfiuivojfktpay qyboxvay
ppprppra v y,pprpprapay vay yay
jlgwzqr dvsxnzqu,lgwzqrjay vsxnzquday
qwrhkhosa fjstzgnjuwr tn,wrhkhosaqay jstzgnjuwrfay ntay
d oi qxm,day oiay xmqay
xfl voyih bhzf bb k,flxay oyihvay hzfbay bbay kay
whqpyx czebx sstf uf,hqpyxway zebxcay stfsay ufay
ged yc,edgay cyay
bwtxmwaliw ppiwxe j lcw zbrwi g,wtxmwaliwbay piwxepay jay cwlay brwizay gay
rmohiickm uvgojt gmwmis vehfwpgsczf,mohiickmray uvgojtay mwmisgay ehfwpgsczfvay
fjipi p rrlobdpi szt jri iduc i otswj,jipifay pay rlobdpiray ztsay rijay iducay iay otswjay
vael hkwwz pwrthbxi sin loi jln un cq e,aelvay kwwzhay wrthbxipay insay oilay lnjay unay qcay eay
rwyf s ch hrnzxyotvs m defr,wyfray say hcay rnzxyotvshay may efrday
hoyrgx iwemc,oyrgxhay iwemcay
fyyopnun,yyopnunfay
oyteq,oyteqay
qucidl qirv w uyyyddinlfrvukdkdpodio,ucidlqay irvqay way uyyyddinlfrvukdkdpodioay
v hyb,vay ybhay
gznjz uedqnqe laijaou,znjzgay uedqnqeay aijaoulay
r hx y jbvdt nqfthtcuf vmzbf qyl kztviroyy dn,ray xhay yay bvdtjay qfthtcufnay mzbfvay ylqay ztviroyykay nday
htxhl uqjve wbrc f u nwll ccyb qqouoyh ufj,txhlhay uqjveay brcway fay uay wllnay cybcay qouoyhqay ufjay
atdhzf wrbfgv nnzflnd vfkutrdpiomuwgtqhratkm,atdhzfay rbfgvway nzflndnay fkutrdpiomuwgtqhratkmvay
povyv jy a o zc bxquqpvdy,ovyvpay yjay aay oay czay xquqpvdybay
uxamhme opelwkn h zuh wenrvaxjvoau,uxamhmeay opelwknay hay uhzay enrvaxjvoauway
lasmmi rcuajkwv a iwporpp zviltzl,asmmilay cuajkwvray aay iwporppay viltzlzay
c zwmq sjg,cay wmqzay jgsay
uymxsfw su inimmg qi vgbdqhkmpwmpb,uymxsfway usay inimmgay iqay gbdqhkmpwmpbvay
raoopmkcsgzjwoada xg u nolfman f,aoopmkcsgzjwoadaray gxay uay olfmannay fay
w mhlugb,way hlugbmay
hjfikbl o fc,jfikblhay oay cfay
c zt up wzt,cay tzay upay ztway
dkzce lcwpscofciz n xgubk ksljk dzr,kzceday cwpscofcizlay nay gubkxay sljkkay zrday
f d p o hnlj ja cslna,fay day pay oay nljhay ajay slnacay
b obtmjhricgv t it fj pi e bqan kcurqt fpitul,bay obtmjhricgvay tay itay jfay ipay eay qanbay curqtkay pitulfay
oluuyfym,oluuyfymay
abe c gqb acdeqvuooqn sn osbbbwrqgcu x vfvcl y,abeay cay qbgay acdeqvuooqnay nsay osbbbwrqgcuay xay fvclvay yay
unpz,unpzay
bp s ynkpwm d jl,pbay say nkpwmyay day ljay
ua e mlmg prphhftn b hmj nbr sgarso,uaay eay lmgmay rphhftnpay bay mjhay brnay garsosay
uts oxq st vyld upcwgftdah lawiqf,utsay oxqay tsay yldvay upcwgftdahay awiqflay
u fn gwkdqpl zk fka phv kc p cen iyif,uay nfay wkdqplgay kzay kafay hvpay ckay pay encay iyifay
ct lnrb,tcay nrblay
iketobvxgcmu ainfw weungmzfwmbctphk,iketobvxgcmuay ainfway eungmzfwmbctphkway
b jhp dmgn,bay hpjay mgnday
ien g a bixh d lloj p x rw,ienay gay aay ixhbay day lojlay pay xay wray
azmmz u wuva a mohcx,azmmzay uay uvaway aay ohcxmay
zbbnp h voqxigyj khu xzz,bbnpzay hay oqxigyjvay hukay zzxay
dj dvps,jday vpsday
e cue c sf prmbba ghytkdm,eay uecay cay fsay rmbbapay hytkdmgay
yja nnuj xjmztvpfscpy brj dng k,jayay nujnay jmztvpfscpyxay rjbay ngday kay
f o o ajquk,fay oay oay ajqukay
jmnv ka opynsg zsn,mnvjay akay opynsgay snzay
gv gykw,vgay ykwgay
ubfgk v r zhwn,ubfgkay vay ray hwnzay
jooeitr g g vgovvl hw t,ooeitrjay gay gay govvlvay whay tay
tk khplay fmncs xg h zxbys a zee,ktay hplaykay mncsfay gxay hay xbyszay aay eezay
eoyg c,eoygay cay
o u ke y t ijoyob h mgevjqm tt,oay uay ekay yay tay ijoyobay hay gevjqmmay ttay
jorulybyowf ika oylzgvvg,orulybyowfjay ikaay oylzgvvgay
zjuwvfem vio,juwvfemzay iovay
rbrdavoi ibiuthegy,brdavoiray ibiuthegyay
gr cft m vc jrfk ie yp y sf f ywiq p mwwao,rgay ftcay may cvay rfkjay ieay pyay yay fsay fay wiqyay pay wwaomay
y l o qarwrgvdkeimmyadgvggsa znscxkjl,yay lay oay arwrgvdkeimmyadgvggsaqay nscxkjlzay
b rqnncnxtcig kbxdn qy wxni rmmqnaq rpcftf,bay qnncnxtcigray bxdnkay yqay xniway mmqnaqray pcftfray
tugfoqilpqydiri,ugfoqilpqydiritay
ncklebvds fuap qagu kwr qyb kmaxlocccthkaihld,cklebvdsnay uapfay aguqay wrkay ybqay maxlocccthkaihldkay
potu s cs w epgfjg hq k zzebpjqdxzrn,otupay say scay way epgfjgay qhay kay zebpjqdxzrnzay
ukk rfjuow wymsl uyynw au xz,ukkay fjuowray ymslway uyynway auay zxay
dnybwehlhgepc cmtbzfbghkakxblelqetdhs gfyjgnu,nybwehlhgepcday mtbzfbghkakxblelqetdhscay fyjgnugay
u ybsxa peqlme,uay bsxayay eqlmepay
p rfygg t jgww g gy i p bop,pay fyggray tay gwwjay gay ygay iay pay opbay
gwh rkrssy aizho ormyt jl eew qg j,whgay krssyray aizhoay ormytay ljay eeway gqay jay
pnjdsjuqx moajo robcy,njdsjuqxpay oajomay obcyray
rc kdmpfsyatp nsiamuj vr zrdhawypikfldy,cray dmpfsyatpkay siamujnay rvay rdhawypikfldyzay
nb yashtokfmyqfxl pkeu,bnay ashtokfmyqfxlyay keupay
ztrfdo tmtagh n,trfdozay mtaghtay nay
w ynwrgegl jtpmoh polslbc numdt s wbowf,way nwrgeglyay tpmohjay olslbcpay umdtnay say bowfway
vjqt g nanwax u,jqtvay gay anwaxnay uay
ri chhxhfyvosmdzyoqmtnvnj s,iray hhxhfyvosmdzyoqmtnvnjcay say
bof fd gs lgls js zehv tptdxuxq qvfqsnau,ofbay dfay sgay glslay sjay ehvzay ptdxuxqtay vfqsnauqay
a plhwima tnycgp l omqov uus,aay lhwimapay nycgptay lay omqovay uusay
pww pm,wwpay mpay
qhuae hd o fodghrtglli,huaeqay dhay oay odghrtgllifay
acusrodelnjwntqr kyywbdx fdxdf x fwwcxnexk,acusrodelnjwntqray yywbdxkay dxdffay xay wwcxnexkfay
taf rshatux gpbfmai yhuj ff m b nzx pnhjyvmab,aftay shatuxray pbfmaigay hujyay ffay may bay zxnay nhjyvmabpay
fgbza yhdvobc tmnhu,gbzafay hdvobcyay mnhutay
memwabc vlcnilcuu duggo wb igju n kj,emwabcmay lcnilcuuvay uggoday bway igjuay nay jkay
idgxnygpmfgtkph incdqto fn v l ibos ph,idgxnygpmfgtkphay incdqtoay nfay vay lay ibosay hpay
mhscrzt dndnebzlxnuh ke riufcq zfxaofph hf j s,hscrztmay ndnebzlxnuhday ekay iufcqray fxaofphzay fhay jay say
fiym msn e jeqgywrg mxuvjgii p alocwitoxe,iymfay snmay eay eqgywrgjay xuvjgiimay pay alocwitoxeay
a nspxjmri inmx ypdtdd qf ouvglv xelx,aay spxjmrinay inmxay pdtddyay fqay ouvglvay elxxay
q z rxcilznluiosznark udfc p,qay zay xcilznluiosznarkray udfcay pay
ewhr za xyjaq jak,ewhray azay yjaqxay akjay
rwdeolli cc tdhbhp fwbd yf d kgwcsskuk,wdeolliray ccay dhbhptay wbdfay fyay day gwcsskukkay
bnbiiqt ca,nbiiqtbay acay
gerf frj yimqz vxhdpuwldljexj nq rxzq jjcqn,erfgay rjfay imqzyay xhdpuwldljexjvay qnay xzqray jcqnjay
j ggblutgjj j,jay gblutgjjgay jay
vwwe czxx huogl ahbsczv byd olm mzrbfxfy l tt,wwevay zxxcay uoglhay ahbsczvay ydbay olmay zrbfxfymay lay ttay
orxa,orxaay
zu h oapivm mcuhhbo r clc crlkvhyzo,uzay hay oapivmay cuhhbomay ray lccay rlkvhyzocay
t us qhhr,tay usay hhrqay
p hoougv,pay oougvhay
jicjsoekuyq w ww vltnmouyv,icjsoekuyqjay way wway ltnmouyvvay
gxitypq psieeuhohi riu yz g kyusr m,xitypqgay sieeuhohipay iuray zyay gay yusrkay may
he ew awmfp wqdpqd rhemc oxxjcgoxa ghkvafkhmvtmy,ehay eway awmfpay qdpqdway hemcray oxxjcgoxaay hkvafkhmvtmygay
kjljuujqlgj ywrqrmw bx k nff,jljuujqlgjkay wrqrmwyay xbay kay ffnay
evyg hkgnxftf enu,evygay kgnxftfhay enuay
zkymybyfdz flobsep cyt r ij hpphgwojfrpmoos,kymybyfdzzay lobsepfay ytcay ray ijay pphgwojfrpmooshay
,
zxgd ze aqyljzl xzk,xgdzay ezay aqyljzlay zkxay
wbmzsfcih,bmzsfcihway
lqfln smt yputyhw vepzn,qflnlay mtsay putyhwyay epznvay
y ujx zfb zullwvle ic p b,yay ujxay fbzay ullwvlezay icay pay bay
q rc ehynsl,qay cray ehynslay
aiwdem vfxbccs vbxynk bi zpb,aiwdemay fxbccsvay bxynkvay ibay pbzay
wg h lovx bxoupvr bn,gway hay ovxlay xoupvrbay nbay
dmhlkpl ulfgpyue gwfj rhryrvzomyuzkih z,mhlkplday ulfgpyueay wfjgay hryrvzomyuzkihray zay
zwzcpk bj ule gxwlpf q ofao mumnh nyzpkwjkx,wzcpkzay jbay uleay xwlpfgay qay ofaoay umnhmay yzpkwjkxnay
ex xydkybzkuc di wq sjb,exay ydkybzkucxay iday qway jbsay
dolgdd,olgddday
cir oukovjq wmv il oifvxwi aimp ozkvo kz,ircay oukovjqay mvway ilay oifvxwiay aimpay ozkvoay zkay
ikknogkpyf jzrt xarsosy k z dyssb,ikknogkpyfay zrtjay arsosyxay kay zay yssbday
wo u,oway uay
oqgpdjen fa pabmcvm e y,oqgpdjenay afay abmcvmpay eay yay
nrx xyjhgrsf ld yxvi wbxjeuxvf ewx u c u x,rxnay yjhgrsfxay dlay xviyay bxjeuxvfway ewxay uay cay uay xay
r sr rnpq rwstqgjzduzp,ray rsay npqray wstqgjzduzpray
afni jevunn qndqu hdm vf,afniay evunnjay ndquqay dmhay fvay
vmns t cxgp fyrsxqq mx xav jc,mnsvay tay xgpcay yrsxqqfay xmay avxay cjay
rkxyzdmsurvaj,kxyzdmsurvajray
ps fny rkus f dh oaoiikbvl,spay nyfay kusray fay hday oaoiikbvlay
dupjsjet itb ehh iybp wpig,upjsjetday itbay ehhay iybpay pigway
aht xh,ahtay hxay
kdnpgougqikwlnojffpmk fjy vk,dnpgougqikwlnojffpmkkay jyfay kvay
rettfejsurgxdytdbehwzqerax k j zrlppow,ettfejsurgxdytdbehwzqeraxray kay jay rlppowzay
fgej rq q gujon vfv b bf ldixkcbbzmdjtgpirn v bm,gejfay qray qay ujongay fvvay bay fbay dixkcbbzmdjtgpirnlay vay mbay
ylxfx,lxfxyay
oaexhgupmaezwkq,oaexhgupmaezwkqay
e z uje tlgk fjvfrbp vw x phzlcx atymjfkh,eay zay ujeay lgktay jvfrbpfay wvay xay hzlcxpay atymjfkhay
gmrgpaxftm j pdbpzh oabn s eekkly w,mrgpaxftmgay jay dbpzhpay oabnay say eekklyay way
uruu addduw a eytkfmnagzueaosskt g nmt qboh,uruuay addduway aay eytkfmnagzueaossktay gay mtnay bohqay
fhgsrywrzf jgnuphxtn wls lag gjjmbm wa l c,hgsrywrzffay gnuphxtnjay lsway aglay jjmbmgay away lay cay
a ydu ztutxvxk g lj uaz,aay duyay tutxvxkzay gay jlay uazay
wkicudibf leoxconh vbszrddnubyaf udjqls,kicudibfway eoxconhlay bszrddnubyafvay udjqlsay
r ki yndzldx,ray ikay ndzldxyay
pku nxvqdeertmg s,kupay xvqdeertmgnay say
n ac qxwel jbnfokuu pc,nay acay xwelqay bnfokuujay cpay
qi z kfz kkao vew ixb ztiunk xskiap ct,iqay zay fzkay kaokay ewvay ixbay tiunkzay skiapxay tcay
k h,kay hay
kqeez cy d f ewezu t yerzrd x,qeezkay ycay day fay ewezuay tay erzrdyay xay
icu k ecltlxxz zzb lm e,icuay kay ecltlxxzay zbzay mlay eay
bonu ilbxj,onubay ilbxjay
sfh gdfaw elera yj,fhsay dfawgay eleraay jyay
vypykdmqhnhtz dqqbeherw e ry r,ypykdmqhnhtzvay qqbeherwday eay yray ray
jdzeegbqtpu hfrxa,dzeegbqtpujay frxahay
lroztotnc btq,roztotnclay tqbay
zeqtpsnjuniw o jy awufjk cxprji,eqtpsnjuniwzay oay yjay awufjkay xprjicay
mjpx fhjvf epsohw ll,jpxmay hjvffay epsohway llay
a vuyl dqk ucbk,aay uylvay qkday ucbkay
nicfhvgkpkvvp daob ehtugw hclbmzicz pkkwthosjp e,icfhvgkpkvvpnay aobday ehtugway clbmziczhay kkwthosjppay eay
szc jyp viaycn hukth npcj,zcsay ypjay iaycnvay ukthhay pcjnay
iyv qslvr vfqxdx,iyvay slvrqay fqxdxvay
mvcif tsmndwv gbjtjbnagcmgnxwfbpl ni ij,vcifmay smndwvtay bjtjbnagcmgnxwfbplgay inay ijay
zzsv botv s tbg gs,zsvzay otvbay say bgtay sgay
m nqsnidtena kklb rvy,may qsnidtenanay klbkay vyray
yyflf fgscvlgy b u ctczi u houoq,yflfyay gscvlgyfay bay uay tczicay uay ouoqhay
ge wcrxg ikxetn,egay crxgway ikxetnay
iipabflux xqw es,iipabfluxay qwxay esay
w,way
wjjtb n yxjib uxvawvjtvb,jjtbway nay xjibyay uxvawvjtvbay
ptd scayv jmrfmgexoorgnzhyhznv,tdpay cayvsay mrfmgexoorgnzhyhznvjay
eq wckgpp z,eqay ckgppway zay
b enjjm ufgvknmpc lhvgc ykg bsvlp sw llftf e,bay enjjmay ufgvknmpcay hvgclay kgyay svlpbay wsay lftflay eay
kl wvwy,lkay vwyway
